Sno,Location,Price
1,Hougang CC,SGD 6.30
2,Toa Payoh South CC,SGD 5.40
3,WHAMPOA CC,SGD 10.80
4,JOO CHIAT CC,SGD 4.50
5,KAMPONG UBI CC,SGD 4.50
6,YEW TEE CC,SGD 5.40
7,SIGLAP CC,SGD 4.50
8,MACPHERSON CC,SGD 5.40
9,EUNOS CC,SGD 5.40
10,Hwi Yoh CC,SGD 4.50
11,Tiong Bahru CC,SGD 5.40
12,Pasir Ris East CC,SGD 5.40
13,CHUA CHU KANG CC,SGD 5.40
14,Radin Mas CC,SGD 6.30
15,LENG KEE CC,SGD 10.80
16,KAMPONG GLAM CC,SGD 12.60
17,GEK POH VILLE CC,SGD 6.30
18,TANJONG PAGAR CC,SGD 10.80
19,Marine Parade CC,SGD 7.20
20,PAYA LEBAR KOVAN CC,SGD 6.30
21,Tanglin CC,SGD 7.65
22,Anchorvale CC,SGD 5.40
23,HENDERSON CC,SGD 4.50
24,BOON LAY CC,SGD 5.40
25,YIO CHU KANG CC,SGD 2.70
26,BUONA VISTA CC,SGD 4.50
27,POTONG PASIR CC,SGD 9.00
28,Tampines North CC,SGD 5.40
29,BUKIT BATOK CC,SGD 7.20
30,JURONG GREEN CC,SGD 5.40
31,MARSILING CC,SGD 6.30
32,ACE The Place CC,SGD 9.00
33,WOODLANDS CC,SGD 5.40
34,TOA PAYOH CENTRAL CC,SGD 4.50
35,Changi Simei CC,SGD 7.20
36,Teck Ghee CC,SGD 3.60
37,CHONG PANG CC,SGD 4.50
38,Nee Soon East CC,SGD 8.10
39,Jalan Besar CC,SGD 6.30
40,Bukit Timah CC,SGD 4.50
41,Punggol 21 CC,SGD 6.30
42,HONG KAH NORTH CC,SGD 6.30
43,Pasir Ris Elias CC,SGD 12.60
44,Yuhua CC,SGD 3.65
45,Pek Kio CC,SGD 16.20
46,CAIRNHILL CC,SGD 11.70
47,WEST COAST CC,SGD 4.50
48,Bukit Merah CC,SGD 3.60
49,SENJA-CASHEW CC FACILITIES,SGD 5.40
50,WOODLANDS GALAXY CC,SGD 6.30
51,TAMPINES CHANGKAT CC,SGD 4.50
52,TOA PAYOH EAST CC,SGD 4.50
53,NEE SOON SOUTH CC,SGD 4.05
54,Tampines West CC,Free
55,TAMAN JURONG CC,SGD 5.40
56,ZHENGHUA CC,SGD 4.50
57,CLEMENTI CC,SGD 5.40
58,QUEENSTOWN CC,SGD 4.05
59,KALLANG CC,SGD 7.20
60,OUR TAMPINES HUB CC,SGD 4.14
61,Sembawang CC,SGD 5.40
62,Geylang Serai CC,SGD 10.80
63,Telok Blangah CC,SGD 3.60
64,AYER RAJAH CC,SGD 9.00
65,Keat Hong CC,SGD 5.40
66,BUKIT PANJANG CC,SGD 10.80
67,Jurong Spring CC,SGD 5.40
68,KAMPONG KEMBANGAN CC,SGD 10.80
69,THOMSON CC,SGD 5.40
70,KIM SENG CC,SGD 5.40
71,CANBERRA CC,SGD 9.00
72,BEDOK CC,SGD 2.70
73,Braddell Heights CC,SGD 9.00
74,THE FRONTIER CC,SGD 5.40
75,KEBUN BARU CC,SGD 8.10
76,Nanyang CC,SGD 4.50
